Date,Open,High,Low,Close,Volume
2024-10-09,159.85137950828616,164.04152406570552,158.61842033743818,163.96446228027344,5486500
2024-10-10,161.08433377200916,162.54847825455104,159.254164192356,162.32693481445312,5048000
2024-10-11,161.82604495283536,164.16673604799036,160.73756744710357,163.7332763671875,3801400
2024-10-14,165.04329649169566,172.29656979434466,164.61946402440137,171.4970703125,9933600
2024-10-15,170.70720816966033,173.2212918760438,166.40147843461247,167.69223022460938,12910400
2024-10-16,168.20278259196925,168.25094805227698,163.96448664951618,165.1781768798828,6495700
2024-10-17,169.16601460421387,169.16601460421387,164.73507200055982,164.8121337890625,6093200
2024-10-18,165.78501843790153,166.23774727854868,163.19387264297373,164.6387481689453,6432700
2024-10-21,163.40577203941186,163.9162934967483,159.96697628531504,162.79891967773438,7297700
2024-10-22,162.79892198706813,167.10465184721502,162.0475879562536,166.815673828125,7313000
2024-10-23,163.11680500435122,166.2955339871562,158.2620298782376,160.47750854492188,9788200
2024-10-24,160.48713032629254,162.73150525067354,159.44681825631986,161.92237854003906,4933400
2024-10-25,164.02229200851406,166.81571254599353,163.56956310306907,164.01266479492188,5496600
2024-10-28,163.1938720406821,166.78679171988838,163.14570658372068,165.89097595214844,5024600
2024-10-29,165.87170450848564,170.08111846103566,164.9662468432044,169.5320587158203,6427700
2024-10-30,163.6755007585515,165.4286234832796,161.37333296706882,161.46002197265625,8819700
2024-10-31,161.46000887082982,161.61413244472377,156.12360873254096,156.7882537841797,10261200
2024-11-01,157.08686011425078,159.9766110037005,156.78825487402628,159.19638061523438,6498100
2024-11-04,158.99409484120727,161.34442796443423,157.62628115595936,159.10968017578125,4949800
2024-11-05,158.93630488073387,161.431119714667,158.21386713127598,159.8128662109375,5373200
2024-11-06,163.03009881827523,171.89199785283805,162.4714119300529,166.63265991210938,17661900
2024-11-07,173.6451413112951,175.4078911810579,165.32265903810753,166.5556182861328,23586300
2024-11-08,165.76573286013453,167.11429203599235,162.54848053587088,164.6291046142578,10736600
2024-11-11,163.7525569965073,164.51351829423862,159.98624465805955,162.1053924560547,7829500
2024-11-12,160.910969980399,161.18067889597455,155.9116984342107,157.4047393798828,8483300
2024-11-13,156.80751095011414,156.95200731492946,153.8792364850758,154.5246124267578,7921700
2024-11-14,156.96163341079853,158.84961046551697,155.92132132326384,157.94415283203125,7012600
2024-11-15,157.0097795052692,158.29090400978146,153.7347347690344,154.60165405273438,9737000
2024-11-18,156.62452670685823,159.07117634613243,156.04657056628753,158.45469665527344,7814200
2024-11-19,158.00193410469782,160.12108167181086,156.67264408347629,158.65695190429688,6176800
2024-11-20,157.97305325818706,158.16570038352938,147.32913423014764,148.6006317138672,14483000
2024-11-21,149.45792442779853,151.17250883588522,147.9456143577036,149.7469024658203,10685800
2024-11-22,149.10151444657455,151.11471883828094,148.08047143248353,151.02801513671875,5709300
2024-11-25,153.09901429469932,153.78291381817007,151.44222250263672,152.98342895507812,9189800
2024-11-26,153.87924539144296,155.5360371905926,150.3537455375756,151.16287231445312,9489900
2024-11-27,151.16283462134393,151.85637588516832,148.78362034170496,150.65231323242188,6337900
2024-11-29,152.29952289532213,155.58421032056876,151.95275215984105,152.70408630371094,6112000
2024-12-02,152.55957341958592,157.3661825751256,152.55957341958592,157.03868103027344,9812700
2024-12-03,155.5649277516337,157.83819911041482,155.3915497478954,156.60523986816406,6961400
2024-12-04,158.43538488652703,158.9362790936649,156.2777138982985,157.3372802734375,6721600
2024-12-05,157.43411172061937,159.23512992891037,154.85845932409987,155.3038787841797,7279800
2024-12-06,155.30388132504655,155.30388132504655,152.25377670421065,154.4517822265625,9918400
2024-12-09,152.48615989718292,157.7633324183623,152.47648232537173,155.64279174804688,9481200
2024-12-10,155.67182789767827,156.36899716518332,151.09181025352916,151.49850463867188,8683600
2024-12-11,152.30219498244955,155.3716846116436,151.9923501352109,154.76165771484375,7081800
2024-12-12,153.63843364768755,154.403390330178,151.94392767941258,153.22207641601562,5796100
2024-12-13,153.22208654735925,154.6164105682314,151.6534480146323,153.5028839111328,8886700
2024-12-16,153.14457507301555,153.67713691987956,149.13585964149115,152.8831329345703,9951100
2024-12-17,151.52756983571564,154.90688941142056,151.52756983571564,152.91221618652344,7187400
2024-12-18,153.2317558274765,156.04948076023734,147.4898083408791,148.1966552734375,10295200
2024-12-19,149.14555484059204,150.53989337722396,145.3014462937368,145.6306610107422,8414800
2024-12-20,144.83669795222517,149.66846630057466,144.6914457096363,148.04173278808594,17347100
2024-12-23,150.72388870122566,153.65780356715956,149.64908718178017,153.22207641601562,8863200
2024-12-24,153.60937974954348,154.34527413467512,152.5442558467961,154.30654907226562,2839600
2024-12-26,152.40871239986654,154.5002205935555,152.36030976036525,153.5028839111328,3846900
2024-12-27,152.20538202339335,152.74762161251547,150.58834082907543,152.25379943847656,7232500
2024-12-30,150.30749778665904,151.17896675423972,148.92285160444055,149.67811584472656,5356000
2024-12-31,149.81370495368193,150.89818412064204,148.35159359287536,148.7485809326172,4423300
2025-01-02,150.0944957427581,152.51521861647157,147.94489264890697,148.7679443359375,5009100
2025-01-03,150.49149292220466,153.41573019506865,149.59099113457177,152.8250732421875,5885800
2025-01-06,154.2775066408159,160.41645609089383,154.2775066408159,154.78102111816406,9599800
2025-01-07,156.86285826237454,158.2668747177634,154.2000628289083,155.42979431152344,7666000
2025-01-08,154.97467251175283,155.11023239397036,151.96329283721,154.03543090820312,7731900
2025-01-10,152.69919880173052,153.26080829202527,150.61738300100146,152.0020294189453,6236800
2025-01-13,150.29781187551708,152.37962720631234,149.8911322898466,152.14724731445312,5714700
2025-01-14,155.06181783811599,155.90422463776343,151.59534104341827,154.47116088867188,6476500
2025-01-15,156.95966572278587,160.20342527469418,156.94997337604124,159.1964111328125,9284000
2025-01-16,160.10660399195189,160.5810561813633,156.1656603762916,156.31089782714844,7188900
2025-01-17,160.13567907262387,160.3583814606143,157.92798078971373,159.3416748046875,8097500
2025-01-21,160.73599741365948,163.33100521970167,160.1066153819474,161.96572875976562,7380500
2025-01-22,162.9824393109511,166.63287882430132,162.85655699155276,164.841552734375,7281700
2025-01-23,164.97711529827396,168.85027202019668,164.00882611779326,168.83090209960938,7172300
2025-01-24,169.54745770284316,169.64427776524184,166.48766005254737,166.6522674560547,5825800
2025-01-27,166.64256323427597,166.739383281192,161.9754025902916,165.75172424316406,15632600
2025-01-28,164.82215917409872,167.9884684258342,164.4251571274912,166.1099853515625,8720200
2025-01-29,166.1100085427344,167.98849187926743,164.82218218547288,166.2649383544922,5118900
2025-01-30,166.87493786303594,168.03688181353445,165.54838654058437,166.47793579101562,6010600
2025-01-31,167.03953315403882,171.18380896853532,166.82650838811367,167.4462127685547,7800500
2025-02-03,163.52467887925138,167.10734583402413,162.73067467215444,164.841552734375,7447100
2025-02-04,163.15670849283387,168.27895117838057,163.15670849283387,167.552734375,5457900
2025-02-05,167.51403273238438,171.3871895585667,164.5123302821248,170.28334045410156,15197800
2025-02-06,162.51765076045442,164.11533675604056,160.15502282146895,163.9507293701172,16293500
2025-02-07,164.44454605749937,165.86793227216225,160.79409187075092,162.63385009765625,7841700
2025-02-10,164.34770938567016,166.35207497048418,163.6408624599508,165.926025390625,6237700
2025-02-11,164.27024867465522,167.22353354230117,163.74737903370607,166.5360565185547,6588100
2025-02-12,164.17341390244175,165.50964276500753,162.9049575914587,164.8899383544922,5505700
2025-02-13,164.79314045572298,166.89432623581473,164.0959710533518,166.69097900390625,6362200
2025-02-14,167.12669435043537,167.3397191214028,165.61615103587064,166.76841735839844,4691300
2025-02-18,167.76577342102928,168.21119293261626,165.80983996884814,168.13372802734375,7292600
2025-02-19,168.4726436717398,170.90304425118464,167.85293917310062,169.66363525390625,6849600
2025-02-20,170.41888618216922,170.7965183503261,167.41718398149274,168.1918182373047,6316400
2025-02-21,169.43121495758618,169.86694207799712,159.9710415141817,160.18405151367188,12531900
2025-02-24,160.64884695728117,161.3072764485259,155.88486639295846,155.9913787841797,9827800
2025-02-25,156.53362404337443,158.15066511481467,154.38402099632944,156.10757446289062,8244900
2025-02-26,156.69822882319824,158.93497430871975,155.82675975713937,156.9596710205078,9161900
2025-02-27,157.19205005540576,158.07319668859384,149.2133572711457,149.54257202148438,10807200
2025-02-28,150.18165377182976,152.32156452930408,148.53555038925572,152.18600463867188,10149500
2025-03-03,153.9483039400981,155.00373561329465,147.68347168647296,148.7485809326172,9601900
2025-03-04,150.3462625419808,152.21505353542943,146.55057079434513,149.56195068359375,8956800
2025-03-05,150.12353269459746,154.10320141055396,148.1772769597558,153.46414184570312,6786900
2025-03-06,150.02765710752266,153.69779471080986,150.0081827442914,151.90652465820312,7808100
2025-03-07,151.1082493010832,157.53342234473402,151.1082493010832,156.94931030273438,8727600
2025-03-10,153.18183249514107,155.04122564618166,148.56738890241417,150.87460327148438,10139900
2025-03-11,150.7480457605944,152.0914796049067,146.8637350924603,149.04440307617188,8692900
2025-03-12,150.12500269286005,151.7312884549282,147.89565619130028,148.75234985351562,7117400
2025-03-13,148.55765086216599,151.50738534947806,146.435391067491,147.91513061523438,5861700
2025-03-14,149.49221565847645,152.7924144595741,149.47274129627036,152.43222045898438,5309400
2025-03-17,151.47817513055622,154.51552184154153,151.32240995189414,153.7659149169922,5781000
2025-03-18,153.76591741703834,155.49876420771906,151.78969310121047,152.14988708496094,6898400
2025-03-19,152.28617797956912,156.25810097446904,150.95247389457583,154.0677032470703,5871000
2025-03-20,153.81459339214723,154.9049199336117,152.3738026259856,153.7659149169922,5089300
2025-03-21,150.87460821961935,153.24997550927444,149.49222550366648,152.66587829589844,10949300
2025-03-24,155.76162546135959,156.73513562049308,154.59341624131665,155.83950805664062,6033400
2025-03-25,155.6448319809038,157.19270979741145,155.19701070555155,155.9076690673828,3978200
2025-03-26,155.226193303603,156.55016772615488,152.69507577976805,154.19427490234375,5960300
2025-03-27,154.0190481755017,155.0314922007951,151.6242066579205,153.785400390625,6102000
2025-03-28,152.76320858990923,153.46413707542223,147.54519367252684,148.67446899414062,8918000
2025-03-31,146.81507716594933,149.77455661912316,143.96269928812757,149.54090881347656,8613600
2025-04-01,148.35322248472204,149.25859471769311,146.2796409535255,148.99574279785156,5708900
2025-04-02,146.79557200312223,151.34187694980182,146.3866995699655,149.99842834472656,5377200
2025-04-03,143.10598445074433,143.495382548232,134.8895568443217,135.72677612304688,16465000
2025-04-04,130.78135810884552,132.26109778803757,123.32427375887177,124.08361053466797,19018600
2025-04-07,121.28963271357554,133.565596976385,117.60003557758009,126.28374481201172,17938300
2025-04-08,127.6564004234286,131.70619166568213,118.51513258718474,121.3577880859375,14965900
2025-04-09,121.84453136300402,141.02267794161307,120.90022534910212,139.78631591796875,21242600
2025-04-10,133.3806141660253,135.37631285260574,125.86511496550186,130.83975219726562,14898800
2025-04-11,130.4503660356121,136.92420288584324,127.63692216828125,135.56129455566406,10955300
2025-04-14,138.96857776446194,139.3190420223596,133.20539929926719,135.5028839111328,6930300
2025-04-15,135.7657165419731,137.10915029434935,134.37358946215744,134.92849731445312,6346800
2025-04-16,130.13882848282628,133.6726750471502,128.2988949110266,132.14427185058594,10417200
